Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,74,<function leaky_relu at 0x2b52173477a0>,,,,,,,64,0,,,,,,,0.23242050849770884,0.1,0.00696287740326092,0.005141511840638871,0.005062258031662033,2,256,42.30280413859234
2,COMPLETED,53,<function leaky_relu at 0x2b52173477a0>,,,,,,,64,0,,,,,,,0.15635799783620258,1e-08,0.003172464841292395,0.009236656023989421,0.07305578768510848,2,64,36.69419350418555
3,COMPLETED,67,relu,<function lrelu at 0x2b562de91830>,<function leaky_relu at 0x2b52173477a0>,,,,,32,1,0.0,1.0,,,,,0.027779993830236882,1e-07,0.004014709438243545,0.006044677658901147,1.4287039079031361e-05,4,32,130.66708055904786
4,COMPLETED,74,<function lrelu at 0x2b562de91830>,,,,,,,32,0,,,,,,,0.4785705877332039,1e-07,0.001967640836376694,0.003958944684391385,0.011014726141141302,2,32,35.099090754376405
5,COMPLETED,74,tanh,tanh,tanh,,,,,128,0,0.0,0.0,,,,,0.3572374370176205,0.1,0.009344719560164264,0.0017012662013025381,0.03185773450873389,4,64,29.44256445416062
