Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,1,relu,elu,,0.2468081217236684,1e-08,0.004048339116414224,0.0023901478475897324,0.0040553868888749895,3,128,71.51680755615234
2,COMPLETED,1,<function leaky_relu at 0x2b7a6124ff80>,elu,,0.18410028651878999,0.1,0.0019846398754163677,0.001241759919535039,0.00712659444081385,3,64,70.04846954345703
