Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,27,<function lrelu at 0x2ba1138b48c0>,relu,elu,elu,<function lrelu at 0x2ba1138b48c0>,<function leaky_relu at 0x2b9cf1fe1050>,,32,0,0,1,1.0,1.0,0.0,,0.0754367331816565,1e-07,0.007119458824155901,0.0021312092096591674,0.0016913960276509564,7,32,23.364728202035643
2,COMPLETED,61,<function lrelu at 0x2ba1138b48c0>,<function lrelu at 0x2ba1138b48c0>,<function lrelu at 0x2ba1138b48c0>,<function leaky_relu at 0x2b9cf1fe1050>,elu,,,512,1,0,1,1.0,0.0,,,0.30325415948354706,1e-08,0.0032873878522639045,0.0067767006418832385,0.00010716041488350366,6,128,17.8564489286917
3,COMPLETED,28,elu,<function lrelu at 0x2ba1138b48c0>,<function lrelu at 0x2ba1138b48c0>,,,,,256,1,1,1,,,,,0.217564464030697,1.0,0.0018551406548939964,0.007513026589502705,0.024730556680782494,4,512,23.762094608284244
4,COMPLETED,74,relu,relu,elu,tanh,<function lrelu at 0x2ba1138b48c0>,tanh,,128,1,0,0,0.0,0.0,0.0,,0.23531805798048377,1.0,0.007799767348816414,0.0023118936809335554,0.00022415465289714304,7,512,19.7826604030802
5,COMPLETED,50,<function leaky_relu at 0x2b9cf1fe1050>,<function lrelu at 0x2ba1138b48c0>,<function lrelu at 0x2ba1138b48c0>,<function leaky_relu at 0x2b9cf1fe1050>,relu,,,512,0,1,0,1.0,1.0,,,0.2461772319826862,0.1,0.001129364824753728,0.005914196027491884,0.0002562560377357804,6,64,18.82379258812954
6,COMPLETED,12,relu,<function lrelu at 0x2ba1138b48c0>,<function leaky_relu at 0x2b9cf1fe1050>,<function lrelu at 0x2ba1138b48c0>,,,,64,0,1,1,1.0,,,,0.16346917915154424,1e-08,0.00244641605372222,0.000405700124135,0.008860806573602319,5,128,25.41358419927076
7,COMPLETED,47,<function leaky_relu at 0x2b9cf1fe1050>,elu,relu,relu,,,,256,1,0,1,0.0,,,,0.4236138799538204,0.1,0.0060242041741881205,0.0038213079472713685,0.0019759508726075858,5,512,23.95980274213835
8,COMPLETED,61,elu,<function lrelu at 0x2ba1138b48c0>,tanh,,,,,256,0,0,0,,,,,0.3882180863884814,0.1,0.005941923736478127,0.0023483911641922306,0.0007949565191075409,4,32,22.122772853745456
9,COMPLETED,16,<function lrelu at 0x2ba1138b48c0>,<function lrelu at 0x2ba1138b48c0>,<function lrelu at 0x2ba1138b48c0>,tanh,<function leaky_relu at 0x2b9cf1fe1050>,<function leaky_relu at 0x2b9cf1fe1050>,,128,0,1,1,1.0,1.0,0.0,,0.16308172729078307,1.0,0.003525737408619014,0.004593664420406965,0.008226350132771081,7,128,25.8525194663436
