Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,1,relu,elu,,0.15717127161554173,1e-08,0.0031907375607790034,0.0028983701347263893,0.0016725487565615153,3,64,72.37992858886719
2,COMPLETED,1,relu,elu,,0.2348893204801969,0.1,0.00022212168223692866,0.004217449958704014,0.005897519507530841,3,32,109.15498352050781
