Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,74,tanh,<function lrelu at 0x2b796d8b48c0>,<function lrelu at 0x2b796d8b48c0>,<function lrelu at 0x2b796d8b48c0>,relu,,,256,1,1,0.0,1.0,0.0,,,0.40744950428759885,0.1,0.00976286736827256,0.005479521521872134,0.00020258712543131242,6,256,137.7037698930719
2,COMPLETED,21,elu,<function lrelu at 0x2b796d8b48c0>,,,,,,32,1,1,,,,,,0.4747498962329591,1.0,0.008400571607401456,0.0050797744425307755,0.061030399687807615,3,512,28.25810544274245
3,COMPLETED,62,<function leaky_relu at 0x2b757efc2050>,<function leaky_relu at 0x2b757efc2050>,elu,,,,,32,1,0,1.0,,,,,0.28287280734897324,0.1,0.00626978196392682,0.007185250902671822,0.0073937155123122815,4,128,21.21947095439997
4,COMPLETED,59,elu,<function leaky_relu at 0x2b757efc2050>,<function lrelu at 0x2b796d8b48c0>,elu,,,,128,0,0,1.0,0.0,,,,0.4033811128589786,1.0,0.00891512215765161,0.004947264614075266,0.012407938608857532,5,256,25.637325031042597
5,COMPLETED,74,<function lrelu at 0x2b796d8b48c0>,tanh,<function lrelu at 0x2b796d8b48c0>,<function leaky_relu at 0x2b757efc2050>,<function leaky_relu at 0x2b757efc2050>,,,512,0,1,0.0,1.0,0.0,,,0.48691823187210276,1e-07,0.009660429374333507,0.00245920783632133,0.0008465228631819435,6,32,43.14894280436174
6,COMPLETED,70,relu,<function lrelu at 0x2b796d8b48c0>,relu,tanh,,,,32,0,1,0.0,1.0,,,,0.475671656556788,1.0,0.00874100362509959,0.004489822707962166,0.04465086365561866,5,16,23.688068831847524
7,COMPLETED,74,<function lrelu at 0x2b796d8b48c0>,relu,,,,,,64,0,0,,,,,,0.28922934303711395,0.1,0.0056524114176478854,0.0026716451281761787,0.00024991381683188733,3,32,64.48374352730315
