Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,last_activation,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,elu,<function leaky_relu at 0x2b7f1f08fef0>,elu,,0,0,0,1,0.266464557290976,1e-07,0.006625840056448636,0.00047394236852009496,<function my_act_fct at 0x2b7ed679eef0>,0.0010321860290058735,4,64,nadam,40.71875762939453
2,COMPLETED,2,<function leaky_relu at 0x2b7f1f08fef0>,relu,elu,,0,0,0,0,0.14417003701120462,1e-07,0.00655701755786001,0.006211117949259087,linear,0.008139376495190429,4,128,adam,60.72542190551758
3,COMPLETED,2,<function leaky_relu at 0x2b7f1f08fef0>,tanh,relu,,1,0,1,1,0.426899375593827,1e-07,0.0040529614553823316,0.005260849156500708,linear,0.001406517917530906,4,64,adam,62.74769592285156
4,COMPLETED,2,tanh,relu,relu,,0,1,1,0,0.4338921423309601,1e-07,0.0016138028797426562,0.00022143334833214958,linear,0.001185378345143235,4,128,nadam,43.53642654418945
5,COMPLETED,2,relu,relu,relu,,0,0,1,1,0.14344977064671488,1e-08,0.007748673072145836,0.0006086876704652478,linear,0.07478875721351694,4,128,RMSprop,194.9400177001953
6,COMPLETED,2,<function lrelu at 0x2b7f27e6bb00>,<function leaky_relu at 0x2b7f1f08fef0>,,,0,1,1,0,0.335976083551742,1.0,0.007449797436679025,0.0012611486686288887,linear,0.00021703552485984252,3,32,adam,68.85623931884766
7,COMPLETED,2,elu,,,,0,0,1,1,0.26960617590864583,0.1,0.0015825335407601393,0.007960374804155762,<function my_act_fct at 0x2b7ed679eef0>,0.0004930108142318825,2,128,RMSprop,49.88726806640625
8,COMPLETED,2,<function leaky_relu at 0x2b7f1f08fef0>,,,,0,0,1,1,0.44462738895979265,1.0,0.0002322512700453383,0.005150909713145517,<function my_act_fct at 0x2b7ed679eef0>,0.09118990050988778,2,32,adam,53.80887222290039
9,COMPLETED,2,elu,tanh,,,1,1,0,1,0.03961941693160603,1e-07,0.0015052965956316377,0.007729362545749275,linear,0.033438122122185665,3,64,RMSprop,123.12416076660156
10,COMPLETED,2,<function leaky_relu at 0x2b7f1f08fef0>,,,,1,1,1,0,0.06423219640260652,1e-08,0.0011285023968908747,0.009076724188565926,linear,0.005146472200492145,2,256,adam,62.471763610839844
11,COMPLETED,2,relu,elu,<function leaky_relu at 0x2b7f1f08fef0>,,0,1,0,1,0.12123896258370437,1e-08,0.0008051111018480861,0.006085371560433495,linear,0.0003000439927023568,4,64,adadelta,424.6899719238281
12,COMPLETED,2,relu,,,,1,0,1,0,0.07671890545092858,0.1,0.003152925127729407,0.0036150863781106712,<function my_act_fct at 0x2b7ed679eef0>,0.00193796254180583,2,128,nadam,41.106170654296875
13,COMPLETED,2,relu,,,,0,0,1,0,0.2321205344669886,1.0,0.0035970874264496713,0.004570296206798234,linear,0.043611562712944134,2,64,adadelta,75.0083999633789
14,COMPLETED,2,elu,,,,0,1,0,1,0.30907582873347,1e-07,0.005961970795806578,0.0010546622818051077,<function my_act_fct at 0x2b7ed679eef0>,0.00015252545372426284,2,128,RMSprop,41.27940368652344
15,COMPLETED,2,relu,tanh,,,1,1,1,1,0.2961078155055606,1e-08,0.003683272736546732,0.004409860496600699,<function my_act_fct at 0x2b7ed679eef0>,0.005831245831474947,3,16,nadam,125.08837127685547
16,COMPLETED,2,relu,,,,1,0,0,1,0.317886598998174,1.0,0.0012730005911897335,0.006447308039097345,linear,0.012359500713226149,2,64,adam,52.153564453125
17,COMPLETED,2,elu,<function lrelu at 0x2b7f27e6bb00>,elu,,0,0,1,0,0.13292502016562868,0.1,0.0007506513847317742,0.0015162034833846206,linear,0.033886943242227796,4,128,adadelta,56.6442756652832
18,COMPLETED,2,<function lrelu at 0x2b7f27e6bb00>,,,,1,1,1,0,0.4594759781915067,1e-08,0.0071692739157665775,0.007520391093230715,linear,0.030018061496762147,2,16,RMSprop,84.25004577636719
