Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,74,relu,relu,,,,,,32,0,0.0,,,,,,0.0,1e-07,0.0,0.0,0.001,3,256,30.62923015609864
2,COMPLETED,74,relu,,,,,,,128,0,,,,,,,0.3676520087645507,1e-07,0.003165954480495293,0.009551838810427815,3.9751965787005524e-05,2,512,140.80752190293214
3,COMPLETED,45,<function lrelu at 0x2b8e7de92830>,elu,<function lrelu at 0x2b8e7de92830>,<function leaky_relu at 0x2b8a70c93a70>,tanh,<function leaky_relu at 0x2b8a70c93a70>,,256,1,0.0,0.0,1.0,0.0,1.0,,0.06896599108194551,1e-07,0.006776287386905975,0.0011230940932750089,0.06531495881982607,7,128,20.774658854891854
4,COMPLETED,74,<function leaky_relu at 0x2b8a70c93a70>,elu,tanh,<function lrelu at 0x2b8e7de92830>,,,,512,1,1.0,1.0,0.0,,,,0.4920807951532465,1e-08,0.006505490687757284,0.004610318288185554,0.0001312106319788727,5,64,167.55314865214254
5,COMPLETED,10,relu,<function leaky_relu at 0x2b8a70c93a70>,elu,elu,elu,elu,,512,1,0.0,1.0,1.0,1.0,1.0,,0.41945819079596475,1.0,0.0030335242203189316,0.008118386094828928,0.054712014453072416,7,16,39.62873672399524
6,COMPLETED,74,<function lrelu at 0x2b8e7de92830>,tanh,<function lrelu at 0x2b8e7de92830>,<function lrelu at 0x2b8e7de92830>,,,,512,1,0.0,1.0,0.0,,,,0.10751469015322856,1.0,0.005452605980495794,0.0055071740772388265,1.4890659413588721e-05,5,64,25.656905074291313
7,COMPLETED,8,elu,tanh,relu,<function lrelu at 0x2b8e7de92830>,,,,256,0,0.0,1.0,1.0,,,,0.16620296646970195,1.0,0.006623979221284148,0.0029448264570659036,0.047848762599766614,5,256,46.093326920804195
8,COMPLETED,74,relu,relu,,,,,,64,0,0.0,,,,,,0.21478486061962476,1e-07,0.006231876876515767,0.0007444770499356734,1.7435104903002986e-05,3,128,156.66721145829396
9,COMPLETED,8,elu,<function leaky_relu at 0x2b8a70c93a70>,,,,,,256,0,1.0,,,,,,0.07706333635826418,1.0,0.005079568250293276,0.0044406018667278,0.02077030683065039,3,32,33.36962535674052
10,COMPLETED,39,elu,,,,,,,512,0,,,,,,,0.46961920370254473,1.0,0.008491222106935727,0.009999994098809096,0.006830664646120951,2,128,36.86365792204444
11,COMPLETED,15,elu,,,,,,,32,0,,,,,,,0.34448095775717913,1.0,0.0037861740176898563,0.0019751197643783627,0.03829579104614929,2,64,37.8319203542053
12,COMPLETED,18,<function leaky_relu at 0x2b8a70c93a70>,,,,,,,512,1,,,,,,,0.1924138297055475,1.0,0.006681139013800997,0.0024312760099409604,0.008089767733367849,2,256,36.191555664409606
13,COMPLETED,58,<function leaky_relu at 0x2b8a70c93a70>,tanh,elu,relu,elu,tanh,,64,1,1.0,1.0,1.0,1.0,0.0,,0.05370059062726157,1e-07,0.002479052299198675,0.0047304393138391234,0.03479616297890053,7,512,18.393450773511734
14,COMPLETED,11,<function leaky_relu at 0x2b8a70c93a70>,<function lrelu at 0x2b8e7de92830>,<function lrelu at 0x2b8e7de92830>,relu,,,,512,0,0.0,1.0,1.0,,,,0.3431051047777391,0.1,0.005371438852014683,0.006136970909594482,0.06614611828196262,5,128,36.18678317880122
