Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,20,<function lrelu at 0x2b0b8de91830>,<function leaky_relu at 0x2b077d8df7a0>,<function leaky_relu at 0x2b077d8df7a0>,relu,tanh,<function lrelu at 0x2b0b8de91830>,,256,1,1,1,0.0,1.0,0.0,,0.46840091968144726,0.1,0.007731678833932756,0.006364846405901268,0.03296472061627819,7,256,21.851458148605996
2,COMPLETED,74,<function lrelu at 0x2b0b8de91830>,<function leaky_relu at 0x2b077d8df7a0>,tanh,relu,relu,elu,,256,1,1,1,0.0,1.0,0.0,,0.457723682200659,1e-08,0.0019834481439202833,0.005456777820930132,2.726068460302972e-05,7,64,148.78178606294424
3,COMPLETED,74,<function lrelu at 0x2b0b8de91830>,tanh,elu,<function lrelu at 0x2b0b8de91830>,<function lrelu at 0x2b0b8de91830>,,,512,1,1,0,0.0,0.0,,,0.18693459397163087,1e-07,0.005170857680762192,0.009532695164448405,1.2029552164279734e-05,6,512,254.69773443433
4,COMPLETED,71,relu,relu,tanh,,,,,32,1,0,1,,,,,0.469452107085271,1.0,0.007631517797079596,0.0051865519201766555,0.00038111903982498795,4,64,36.725249516563494
5,COMPLETED,74,relu,elu,<function leaky_relu at 0x2b077d8df7a0>,relu,tanh,<function leaky_relu at 0x2b077d8df7a0>,,64,1,1,1,0.0,0.0,1.0,,0.3900782454552887,1.0,0.008572166202854406,0.005219098771605357,2.9078956620259974e-05,7,64,124.67469349628824
