Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,2,<function lrelu at 0x2add07c84830>,<function lrelu at 0x2add07c84830>,,,relu,relu,relu,0.3,0.1,0.004,0.004,0.0012,3,128,49.790130615234375
2,COMPLETED,2,relu,<function lrelu at 0x2add07c84830>,<function leaky_relu at 0x2adcfeea8ef0>,,,,,0.2554225779121038,1.0,0.00934058595330511,0.008052030641973684,0.13623940357363692,4,16,99.94949340820312
3,COMPLETED,2,<function lrelu at 0x2add07c84830>,<function leaky_relu at 0x2adcfeea8ef0>,,,,,,0.15435097094773292,0.1,0.009057056040975392,0.005853945819752345,0.2304966033857083,3,32,83.07414245605469
4,COMPLETED,2,<function leaky_relu at 0x2adcfeea8ef0>,<function lrelu at 0x2add07c84830>,<function lrelu at 0x2add07c84830>,,,,,0.32291233679141335,1.0,0.008318345388106569,0.003174955568916471,0.002604376328712466,4,32,656.2935791015625
5,COMPLETED,2,elu,relu,,,,,,0.30600207379396793,1e-08,0.008043571661564804,0.0007906598483792338,0.19821607404621525,3,128,629.1407470703125
6,COMPLETED,2,<function lrelu at 0x2add07c84830>,,,,,,,0.1762701467315388,0.1,0.009200549814546414,0.005714614369739425,0.002286477131949734,2,256,90.05630493164062
7,COMPLETED,2,elu,elu,,,,,,0.46403783252007186,1e-08,0.004691691318460717,0.0009172303804363535,0.006747889200487502,3,256,46.889278411865234
8,COMPLETED,2,<function leaky_relu at 0x2adcfeea8ef0>,,,,,,,0.1865225886212145,1e-08,0.0034632199306274727,0.005479614681473998,0.0011380238556620364,2,128,136.23875427246094
9,COMPLETED,2,<function leaky_relu at 0x2adcfeea8ef0>,relu,tanh,,,,,0.09573154092275937,0.1,0.00882303324326254,0.007809250222902271,0.004649376329625001,4,128,629.1431884765625
