Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_last,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,<function leaky_relu at 0x2b6072319f80>,elu,relu,,<function my_act_fct at 0x2b60772f19e0>,1,1,0,0,0.0,1.0,0.002476,0.001802,0.000332,4,256,adam,42.47085189819336
2,COMPLETED,2,<function lrelu at 0x2b6079888290>,relu,relu,,<function my_act_fct at 0x2b60772f19e0>,1,1,1,1,0.4499884433723012,1e-07,0.0009429886139102551,0.0014997774751800863,0.5896393925397964,4,16,adam,106.73748016357422
3,COMPLETED,2,<function lrelu at 0x2b6079888290>,<function leaky_relu at 0x2b6072319f80>,,,<function my_act_fct at 0x2b60772f19e0>,0,0,0,1,0.120169492781532,1e-07,0.0007096917548146864,0.007234669956141839,0.03424285940104281,3,512,adam,649.4371337890625
4,COMPLETED,2,tanh,<function lrelu at 0x2b6079888290>,<function leaky_relu at 0x2b6072319f80>,,<function my_act_fct at 0x2b60772f19e0>,0,0,0,1,0.36798161515718475,1e-08,0.006328608767484795,0.00577538253545819,0.4618817262884362,4,128,adam,663.3097534179688
5,COMPLETED,2,<function leaky_relu at 0x2b6072319f80>,,,,linear,1,1,0,0,0.1389725050469986,1e-07,0.00915505774089378,0.004891524200133561,0.002770217708281137,2,128,adam,49.62363815307617
6,COMPLETED,2,tanh,tanh,,,<function my_act_fct at 0x2b60772f19e0>,0,0,1,0,0.03476412230661147,0.1,0.0062675050673304256,0.005734180519916501,0.0006075438467414662,3,32,adam,39.79707336425781
7,COMPLETED,2,<function lrelu at 0x2b6079888290>,,,,<function my_act_fct at 0x2b60772f19e0>,0,1,1,1,0.42804228538756484,1e-07,0.004771204950383677,0.00487133716210341,0.34847768555276726,2,128,adam,70.07272338867188
8,COMPLETED,2,tanh,<function lrelu at 0x2b6079888290>,,,linear,0,1,1,0,0.3678015322743798,1e-08,0.005473946565591021,0.00346866529650569,0.08812420672856282,3,256,adam,105.45573425292969
9,COMPLETED,2,tanh,<function leaky_relu at 0x2b6072319f80>,<function lrelu at 0x2b6079888290>,,linear,0,1,0,1,0.09575841569831217,1e-08,0.00991245847654548,0.007600608222606132,0.0763481454864375,4,64,adam,63.40755081176758
10,COMPLETED,2,<function lrelu at 0x2b6079888290>,<function lrelu at 0x2b6079888290>,tanh,,linear,1,1,0,0,0.42284370976125785,0.1,0.006251059754851732,0.0019218020849308026,0.16547427565084016,4,256,adam,108.07018280029297
11,COMPLETED,2,tanh,,,,<function my_act_fct at 0x2b60772f19e0>,1,1,1,0,0.3495315442551486,1e-08,0.001808882826226227,0.0018697379923706947,0.4344784412163253,2,64,adam,103.515380859375
12,COMPLETED,2,elu,,,,<function my_act_fct at 0x2b60772f19e0>,0,0,1,1,0.36103867201469664,1e-08,0.00987749524839224,0.005037548812043446,0.007327039591052239,2,32,adam,47.27822494506836
13,COMPLETED,2,tanh,<function leaky_relu at 0x2b6072319f80>,tanh,,<function my_act_fct at 0x2b60772f19e0>,0,0,0,1,0.1990790880675039,0.1,0.006324559240693706,0.004209060072534957,0.0029449718882719254,4,128,adam,36.54728698730469
14,COMPLETED,2,<function lrelu at 0x2b6079888290>,tanh,,,<function my_act_fct at 0x2b60772f19e0>,0,1,1,0,0.22983298233265154,1e-07,0.004354751710482443,0.007226603889882288,0.0021313660261890873,3,32,adam,36.41712188720703
15,COMPLETED,2,relu,,,,<function my_act_fct at 0x2b60772f19e0>,1,1,1,1,0.1912303219637015,0.1,0.003992226094920364,0.006964604417250597,0.00018665809644621522,2,512,adam,33.63119125366211
16,COMPLETED,2,tanh,,,,<function my_act_fct at 0x2b60772f19e0>,1,1,0,1,0.2966195708823112,1e-07,0.0073983665430969745,0.000113938618042575,0.013638173675759742,2,32,adam,36.75534439086914
17,COMPLETED,2,tanh,tanh,,,<function my_act_fct at 0x2b60772f19e0>,1,0,1,0,0.3930592774423159,0.1,0.004434678443107727,0.0061238011361973346,0.0008188786088935602,3,256,adam,36.66613006591797
18,COMPLETED,2,relu,elu,tanh,,linear,0,1,0,0,0.45097174635410586,1.0,0.004912928749098271,0.0020796967214885974,0.005060817715707836,4,512,adam,39.15370178222656
