Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,74,relu,relu,,,,,,32,0,0.0,,,,,,0.0,1e-07,0.0,0.0,0.001,3,256,31.755480405382567
2,COMPLETED,74,<function leaky_relu at 0x2ba8b9d8aa70>,,,,,,,64,0,,,,,,,0.38959717367917596,1e-07,0.005421000563417872,0.006066349883029692,0.0002901754959788827,2,16,132.6153992532539
3,COMPLETED,74,elu,<function lrelu at 0x2bae7001dd40>,tanh,<function leaky_relu at 0x2ba8b9d8aa70>,,,,512,1,1.0,1.0,1.0,,,,0.1734416811313968,1e-07,0.00906572633805285,0.0011227152130764563,0.0017659147331963692,5,128,51.361296986239935
4,COMPLETED,74,relu,<function lrelu at 0x2bae7001dd40>,,,,,,32,1,1.0,,,,,,0.42809954897981156,1e-07,0.0029155145087847944,0.005321400381218327,0.01047137991453219,3,16,33.5706386631807
5,COMPLETED,74,elu,<function lrelu at 0x2bae7001dd40>,,,,,,128,1,0.0,,,,,,0.36357593658858733,0.1,0.00572834475783353,0.004246668782468001,2.6585967676166546e-05,3,128,27.319106745369456
