Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,2,relu,elu,<function leaky_relu at 0x2b50cc28eef0>,,0,0.0,1.0,,0.052917606013637375,0.1,0.0016306552598897995,0.0013333026758619293,0.0004386798990235404,4,64,40.83805847167969
2,COMPLETED,2,tanh,<function lrelu at 0x2b50d5069830>,,,1,1.0,,,0.4940213211584795,1e-08,0.006939365932308105,0.009204170993297647,0.030335591411833677,3,16,102.3060073852539
3,COMPLETED,2,relu,,,,1,,,,0.29206983368677414,0.1,0.0069907935130329515,0.0029979948510910448,0.06328938228747681,2,16,163.92605590820312
4,COMPLETED,2,tanh,elu,<function leaky_relu at 0x2b50cc28eef0>,,1,1.0,0.0,,0.17801170880978662,1.0,0.001630639729149862,0.0033729120258054936,0.022499175863809978,4,512,87.99677276611328
5,COMPLETED,2,<function lrelu at 0x2b50d5069830>,relu,,,1,1.0,,,0.05256155029344878,1.0,0.0033889725358205638,0.008385167973458408,0.0021987320284475903,3,32,72.73033142089844
6,COMPLETED,2,relu,tanh,,,0,0.0,,,0.4025019322925233,0.1,0.0017588900329007574,0.0012208614947920072,0.018033069270414728,3,32,144.73390197753906
7,COMPLETED,2,elu,tanh,,,0,0.0,,,0.38954563668084885,1e-07,0.000607618105848401,0.007718066196639265,0.2994850905051447,3,16,63.826454162597656
8,COMPLETED,2,<function lrelu at 0x2b50d5069830>,<function leaky_relu at 0x2b50cc28eef0>,,,1,0.0,,,0.3097461207386997,1.0,0.003141333703274346,0.009716738615854554,0.0078010575378807704,3,512,112.44401550292969
9,COMPLETED,2,relu,tanh,elu,,1,1.0,1.0,,0.21787980323796297,0.1,0.004860486050326466,0.005368235764122843,0.00742681248511582,4,16,105.70922088623047
10,COMPLETED,2,tanh,relu,,,0,0.0,,,0.3067888481012071,0.1,0.009522238094875814,0.00882354098220588,0.046806622443366676,3,512,85.1441650390625
11,COMPLETED,2,tanh,<function lrelu at 0x2b50d5069830>,<function lrelu at 0x2b50d5069830>,,0,0.0,1.0,,0.48338819599293736,1e-08,0.005873520739908922,0.005433852874384795,0.09675550678515288,4,512,42.217529296875
12,COMPLETED,2,relu,tanh,tanh,,0,0.0,1.0,,0.0695514419643829,1e-07,0.0014463256224988852,0.009368565130276636,0.0001729578903943023,4,64,91.93321228027344
13,COMPLETED,2,relu,relu,<function lrelu at 0x2b50d5069830>,,0,0.0,1.0,,0.09461471057102322,1e-08,0.009996568065110494,0.009251595099304951,0.003563696278320437,4,64,683.71533203125
14,COMPLETED,2,tanh,,,,1,,,,0.051924196490816366,1.0,0.0059473733522256355,0.006092770155086953,0.004106841908968349,2,128,116.3207015991211
