Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,1,<function leaky_relu at 0x2b305b952f80>,elu,,0.18698222151798052,0.1,0.003993671181412639,0.002837313303357485,0.0018636052064718688,3,256,68.79985046386719
2,COMPLETED,1,relu,elu,,0.2310277542988099,1e-08,0.004148952644418447,0.002504553310764072,0.007282467775936052,3,32,92.7026138305664
3,COMPLETED,1,<function leaky_relu at 0x2b305b952f80>,elu,,0.19940400929555824,0.1,0.0007919261114559389,0.0015505386259363342,0.0013094271945105478,3,256,63.59284591674805
4,COMPLETED,1,relu,elu,,0.1923258401354869,1e-08,0.0006042819383073687,0.00168540295910289,0.0010079236305831833,3,128,75.87683868408203
5,COMPLETED,1,relu,elu,,0.24367069344019204,0.1,0.0033409775315130833,0.001380687150994062,0.00904927545189656,3,128,74.7250747680664
6,COMPLETED,1,relu,elu,,0.1818131107071531,0.1,0.0052499772552064014,0.006919724990718534,0.001498572946173598,3,64,78.92443084716797
7,COMPLETED,1,relu,elu,,0.1674484681133376,1e-08,0.004100585448783114,0.0064296357710632145,0.0019857034026881646,3,32,75.83139038085938
8,COMPLETED,1,<function leaky_relu at 0x2b305b952f80>,elu,,0.2792693463182099,1e-08,0.005351201218181893,0.005037095569175912,0.005532346157658738,3,32,70.6786880493164
9,COMPLETED,1,relu,elu,,0.2695745392814253,0.1,0.0005485739919574358,0.004061034706002232,0.006908408488439372,3,128,94.36587524414062
