Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,1,<function leaky_relu at 0x2b97c5c04f80>,elu,,0.2293258465856497,0.1,0.0015013872948279234,0.004056738028542797,0.0014843176966456385,3,128,62.221839904785156
2,COMPLETED,1,relu,elu,,0.29752887534575156,0.1,0.002140647845832657,0.0051798472497325936,0.00413028938157967,3,32,112.03675842285156
3,COMPLETED,1,<function leaky_relu at 0x2b97c5c04f80>,elu,,0.21338974125496082,0.1,0.002637678909866375,0.006609294007911927,0.009920676152941094,3,64,80.62401580810547
4,COMPLETED,1,relu,elu,,0.211033927780439,0.1,0.00014479273125624558,0.0031968063563608136,0.009034708929020325,3,32,102.47462463378906
5,COMPLETED,1,relu,elu,,0.26268389881901727,1e-08,0.005858247190590952,0.0013747746675464533,0.0035924008978912405,3,64,70.87394714355469
6,COMPLETED,1,<function leaky_relu at 0x2b97c5c04f80>,elu,,0.18243225619135778,0.1,0.003849305371742364,0.002473231244086626,0.005310758265965915,3,32,63.71394729614258
7,COMPLETED,1,<function leaky_relu at 0x2b97c5c04f80>,elu,,0.2105510000360869,1e-08,0.0006401502947416347,0.001078655656716329,0.004430958997407982,3,32,60.787715911865234
8,COMPLETED,1,relu,elu,,0.19837863139850256,0.1,0.005228962555945377,0.006735840329182543,0.0023242648662232866,3,128,81.26484680175781
9,COMPLETED,1,<function leaky_relu at 0x2b97c5c04f80>,elu,,0.21225170941530916,0.1,0.005186259715299431,0.001235460644544736,0.0021202702122766273,3,32,63.43353271484375
