Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,53,relu,relu,,,,,,32,0,0.0,,,,,,0.0,1e-07,0.0,0.0,0.001,3,256,14.781888419213109
2,COMPLETED,31,relu,relu,,,,,,32,0,0.0,,,,,,0.07376873737748518,1e-08,0.0036904158456368863,0.005124377929821125,0.0010887142498836554,3,128,21.7474323486266
3,COMPLETED,16,tanh,tanh,<function leaky_relu at 0x2b82d4dcc7a0>,,,,,32,0,1.0,0.0,,,,,0.022670800762533305,0.1,0.008126190490916322,0.009430848604962083,0.026949600088236006,4,64,50.39012930333131
4,COMPLETED,50,elu,elu,,,,,,64,0,1.0,,,,,,0.14689775587299386,1e-07,0.0011922898743426447,0.005685821655955806,0.0005988560297646304,3,64,23.32519113991925
5,COMPLETED,13,<function lrelu at 0x2b86e1e92560>,,,,,,,32,1,,,,,,,0.14330040299264357,1e-07,0.009291749716769241,0.006778246891959343,0.0012497490223947277,2,128,24.210626015443392
6,COMPLETED,74,relu,relu,,,,,,256,1,0.0,,,,,,0.18094021709149388,1e-08,0.008921357679694234,0.006248666873904906,7.970746822329862e-05,3,128,19.34882737942756
