Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,last_activation,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,elu,tanh,<function leaky_relu at 0x2af7a7c64ef0>,,1,0,0,0,0.26902990587044967,1e-07,0.0020963296466548808,0.002684128431501074,linear,0.046678423455793316,4,256,adadelta,39.39101028442383
2,COMPLETED,2,elu,relu,,,1,0,0,1,0.3759581348873405,1e-08,0.00915590145157752,0.007856613883816713,<function my_act_fct at 0x2af75f373ef0>,0.0006249252070659614,3,128,RMSprop,49.45234298706055
3,COMPLETED,2,relu,elu,<function leaky_relu at 0x2af7a7c64ef0>,,1,0,1,0,0.03614601952005708,1e-07,0.001967012300865392,0.008012127394417807,<function my_act_fct at 0x2af75f373ef0>,0.0006180317056254783,4,16,adam,50.564517974853516
4,COMPLETED,2,relu,,,,0,0,1,0,0.05038263996730358,1e-07,0.007838774282206511,0.006373142697495869,linear,0.0004178866739228331,2,256,adadelta,277.5847473144531
5,COMPLETED,2,elu,<function lrelu at 0x2af7b0a40b00>,,,0,0,1,1,0.07601108936333878,0.1,0.004129931464581284,0.0010959239737184723,linear,0.0035322199303253047,3,32,adadelta,36.24148941040039
6,COMPLETED,2,<function lrelu at 0x2af7b0a40b00>,,,,1,1,1,0,0.10711936879345435,1e-07,0.0009215334210590598,0.005083396662391936,linear,0.0178872521654086,2,64,adam,66.35317993164062
7,COMPLETED,2,<function leaky_relu at 0x2af7a7c64ef0>,,,,1,0,0,0,0.47994811202840587,0.1,0.008227367732696575,0.005195177957450988,linear,0.008418187605195382,2,32,nadam,67.70553588867188
8,COMPLETED,2,<function lrelu at 0x2af7b0a40b00>,tanh,tanh,,1,1,0,0,0.15276333290655575,0.1,0.0039153611560360365,0.0011427694083605156,<function my_act_fct at 0x2af75f373ef0>,0.01633667180717562,4,256,RMSprop,74.60017395019531
9,COMPLETED,2,<function leaky_relu at 0x2af7a7c64ef0>,<function lrelu at 0x2af7b0a40b00>,elu,,0,0,0,1,0.22858309245078784,1.0,0.001820939583329202,0.0036287642504953268,linear,0.0008306079399637221,4,256,adadelta,36.00953674316406
10,COMPLETED,2,<function leaky_relu at 0x2af7a7c64ef0>,,,,1,1,0,0,0.08247187919414783,1.0,0.005197695259521767,0.00027069580357464985,<function my_act_fct at 0x2af75f373ef0>,0.005066474738008373,2,16,adadelta,47.753868103027344
11,COMPLETED,2,relu,<function lrelu at 0x2af7b0a40b00>,,,1,1,0,0,0.24342162894579722,0.1,0.004297615422046335,0.001598917246238175,<function my_act_fct at 0x2af75f373ef0>,0.018822831815430603,3,128,adadelta,44.06233596801758
12,COMPLETED,2,<function leaky_relu at 0x2af7a7c64ef0>,<function lrelu at 0x2af7b0a40b00>,,,1,1,0,1,0.2665337584030447,0.1,0.0004614741244070986,0.00653324903349921,<function my_act_fct at 0x2af75f373ef0>,0.012687826752281316,3,16,adam,71.47563934326172
13,COMPLETED,2,<function lrelu at 0x2af7b0a40b00>,,,,1,0,1,1,0.2729450378299848,1.0,0.0032655544488942125,0.004715911958930278,<function my_act_fct at 0x2af75f373ef0>,0.0003615207940682589,2,256,nadam,57.48618698120117
14,COMPLETED,2,elu,tanh,,,0,1,1,1,0.3313347591082662,1.0,0.002956729717175499,0.00938456663415895,linear,0.03888472393483549,3,32,RMSprop,137.29026794433594
15,COMPLETED,2,tanh,,,,0,0,0,1,0.1471781584689243,1e-07,0.009154548241634987,0.006380485813104566,<function my_act_fct at 0x2af75f373ef0>,0.00026746990969239145,2,128,nadam,84.29753875732422
