Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,last_activation,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,<function leaky_relu at 0x2add99653ef0>,relu,<function leaky_relu at 0x2add99653ef0>,,0,1,1,1,0.4996758115869748,0.1,0.0056501305042528024,0.0015491213799960402,<function my_act_fct at 0x2add50d62ef0>,0.00013130960812700608,4,32,RMSprop,92.42555236816406
2,COMPLETED,2,tanh,,,,0,1,0,1,0.1519462822572582,0.1,0.006948812952698061,0.0066066386254472,linear,0.0017463831140515974,2,16,adadelta,145.04176330566406
3,COMPLETED,2,relu,tanh,elu,,0,0,1,1,0.4735860517137183,1.0,0.00043880118798379384,0.000338679456822284,<function my_act_fct at 0x2add50d62ef0>,0.0015854325713017862,4,64,nadam,42.067073822021484
4,COMPLETED,2,<function lrelu at 0x2adda2427b00>,tanh,,,1,0,0,0,0.26275766361287844,1.0,0.002743712908424535,0.0039240144673061425,linear,0.0005611147973597953,3,32,adadelta,101.40729522705078
5,COMPLETED,2,elu,<function lrelu at 0x2adda2427b00>,,,1,0,1,0,0.013118891766261909,0.1,0.0008216528613804664,0.007740353365578343,linear,0.0007126364344181428,3,128,RMSprop,33.69414138793945
6,COMPLETED,2,<function lrelu at 0x2adda2427b00>,<function leaky_relu at 0x2add99653ef0>,,,1,0,0,0,0.44588608037751704,1e-08,0.006439791532639116,0.007198859643846687,linear,0.005104580316314694,3,16,nadam,99.87853240966797
7,COMPLETED,2,tanh,<function leaky_relu at 0x2add99653ef0>,relu,,1,0,0,0,0.49736331782868043,1e-07,0.003844555610992652,0.000642034908812501,linear,0.0030585506600098646,4,128,adam,58.672481536865234
8,COMPLETED,2,elu,tanh,,,0,0,1,0,0.06621208635444881,1.0,0.0006001141160740842,0.0029133219535350595,<function my_act_fct at 0x2add50d62ef0>,0.0002814683112647526,3,32,nadam,93.6573486328125
9,COMPLETED,2,elu,<function leaky_relu at 0x2add99653ef0>,,,0,1,0,1,0.48043251831189293,1e-07,0.007572751905609949,0.0032084547142093543,linear,0.00030547657066797365,3,32,nadam,69.46200561523438
10,COMPLETED,2,tanh,elu,,,0,1,1,1,0.06792693117452142,1.0,0.00859862430113592,0.0086347037569955,<function my_act_fct at 0x2add50d62ef0>,0.003965077172253686,3,32,adadelta,58.70193099975586
11,COMPLETED,2,<function lrelu at 0x2adda2427b00>,<function leaky_relu at 0x2add99653ef0>,,,1,1,1,0,0.017594516140993888,1e-08,0.0036013235489000127,0.0030556814862750803,linear,0.0053397514005298075,3,16,adadelta,234.39810180664062
12,COMPLETED,2,relu,<function leaky_relu at 0x2add99653ef0>,,,0,0,0,0,0.4900201647017557,0.1,0.00781940369828606,0.003129208944072174,linear,0.0007767509765827166,3,16,RMSprop,106.88053131103516
13,COMPLETED,2,<function lrelu at 0x2adda2427b00>,tanh,,,1,0,1,1,0.044455306343635426,0.1,0.004268212560953325,0.004774623847380973,linear,0.00013207992170321062,3,128,adadelta,83.84183502197266
14,COMPLETED,2,<function leaky_relu at 0x2add99653ef0>,,,,0,0,1,1,0.21816718133772112,1e-07,0.007115291215209725,0.005416719377606697,linear,0.002201907606072426,2,64,adam,55.238773345947266
15,COMPLETED,2,relu,,,,1,1,0,1,0.18816023112085178,1.0,0.009298684881328364,0.00946436196947467,linear,0.014037221775611973,2,256,RMSprop,66.03945922851562
16,COMPLETED,2,<function leaky_relu at 0x2add99653ef0>,<function lrelu at 0x2adda2427b00>,,,1,1,1,0,0.2277380352250939,1.0,0.00025826278265240755,0.008474525572702266,<function my_act_fct at 0x2add50d62ef0>,0.0006075876707805958,3,128,adam,38.397117614746094
17,COMPLETED,2,elu,<function lrelu at 0x2adda2427b00>,,,0,0,1,1,0.3479934551960423,0.1,0.006912624446470366,0.0015881848615090267,linear,0.00016210538541676137,3,256,RMSprop,41.25600814819336
18,COMPLETED,2,tanh,,,,1,1,0,1,0.18166900603091712,1e-07,0.004007480990568989,0.00393765850005312,<function my_act_fct at 0x2add50d62ef0>,0.004615439813288954,2,256,nadam,58.23991775512695
