Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,74,relu,relu,,,,,,32,0,0.0,,,,,,0.0,1e-07,0.0,0.0,0.001,3,256,31.08545949939262
2,COMPLETED,74,<function leaky_relu at 0x2ba92e31ea70>,tanh,,,,,,128,1,1.0,,,,,,0.4474660826074608,1e-08,0.0020321687150574273,0.0019051840284760903,0.003431134779090024,3,512,43.0751738769812
3,COMPLETED,74,<function lrelu at 0x2bad3df289e0>,relu,,,,,,128,1,1.0,,,,,,0.343967175943663,0.1,0.0013170769141316275,0.007029875571690296,5.900540352897566e-05,3,32,19.11317483027166
4,COMPLETED,74,<function lrelu at 0x2bad3df289e0>,,,,,,,512,0,,,,,,,0.18963204178355364,1e-07,0.0008069529724234559,0.007924209775484099,0.0003465921648863543,2,128,107.50768266823253
5,COMPLETED,74,relu,tanh,,,,,,512,0,1.0,,,,,,0.006930552341267715,1e-08,0.0018243791020528478,0.0011511765646579875,0.052981151889295586,3,512,28.56380672307244
6,COMPLETED,74,elu,tanh,tanh,,,,,128,0,0.0,0.0,,,,,0.1835061681507007,1e-07,0.00912875171162943,0.004220816273017966,3.377906902600532e-05,4,64,143.89767313751864
7,COMPLETED,71,<function leaky_relu at 0x2ba92e31ea70>,tanh,tanh,,,,,64,1,0.0,1.0,,,,,0.07869826779800088,1e-08,0.00013643143763650278,0.0032739843080876576,0.003934515383995688,4,32,33.23920195964893
8,COMPLETED,74,<function lrelu at 0x2bad3df289e0>,,,,,,,256,0,,,,,,,0.3386210518214254,1e-07,0.007064017261614342,0.0002554314430726712,0.0026400571149334095,2,16,63.48549894360566
9,COMPLETED,51,elu,<function lrelu at 0x2bad3df289e0>,<function leaky_relu at 0x2ba92e31ea70>,,,,,128,0,1.0,1.0,,,,,0.3881297244083988,0.1,0.008336339108241851,0.0014379408029344598,0.00018802515432245158,4,16,22.728475417457783
