Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,59,relu,relu,,,,,,32,0,0.0,,,,,,0.0,1e-07,0.0,0.0,0.001,3,256,14.63964186516316
2,COMPLETED,27,<function leaky_relu at 0x2ae5381d07a0>,,,,,,,512,1,,,,,,,0.3499457759959146,1e-08,0.003635730540822142,0.0017093482303895935,0.050279414880496184,2,128,30.00289001768322
3,COMPLETED,10,relu,tanh,relu,,,,,64,1,1.0,1.0,,,,,0.24228464966378166,1e-08,0.005006167089095351,0.0040618195941236855,0.006096854797397566,4,128,25.46101242369975
4,COMPLETED,74,<function leaky_relu at 0x2ae5381d07a0>,,,,,,,256,0,,,,,,,0.296097729929878,1.0,0.0035201904595482604,0.0065519104932196285,5.135296039572e-05,2,256,41.482344633278046
5,COMPLETED,66,tanh,relu,,,,,,32,1,0.0,,,,,,0.2368111131777827,0.1,0.007175119509889609,0.0024551220482402158,0.0001144143462721478,3,128,22.22729176303443
6,COMPLETED,21,elu,relu,,,,,,512,1,1.0,,,,,,0.09366272806192194,1e-08,0.009415313697016004,0.008835090699765336,0.0017551587610877123,3,256,18.787658963528987
7,COMPLETED,8,tanh,tanh,<function lrelu at 0x2ae96de92830>,,,,,32,0,0.0,0.0,,,,,0.4164972198677886,1e-07,0.0014634968190293818,0.00845749692970865,0.015227215023610553,4,64,42.54977325833145
