Trial-ID,Status,Iteration,batch_size,lrinit,optimizer,Objective
4,INTERMEDIATE,8,64,6.458674490551285e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.9609375
4,INTERMEDIATE,9,64,6.458674490551285e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.9609375
4,COMPLETED,9,64,6.458674490551285e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.9609375
5,INTERMEDIATE,0,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,15062.3115234375
5,INTERMEDIATE,1,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,13776.5673828125
5,INTERMEDIATE,2,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,12697.9404296875
5,INTERMEDIATE,3,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,11774.4755859375
5,INTERMEDIATE,4,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,10972.92578125
5,INTERMEDIATE,5,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,10269.2939453125
5,INTERMEDIATE,6,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,9644.8212890625
5,INTERMEDIATE,7,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,9087.5576171875
5,INTERMEDIATE,8,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,8585.2822265625
5,INTERMEDIATE,9,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,8130.38720703125
5,COMPLETED,9,64,2.2486529727726847e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,8130.38720703125
6,INTERMEDIATE,0,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,INTERMEDIATE,1,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,INTERMEDIATE,2,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,INTERMEDIATE,3,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,INTERMEDIATE,4,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,INTERMEDIATE,5,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,INTERMEDIATE,6,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,INTERMEDIATE,7,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
