Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,last_activation,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,relu,<function leaky_relu at 0x2b39a6b88ef0>,<function leaky_relu at 0x2b39a6b88ef0>,,1,0,1,1,0.027067859112560655,1e-07,0.007905706425751523,0.008381479997271124,<function my_act_fct at 0x2b395e297ef0>,0.00017127901646316496,4,256,nadam,39.795928955078125
2,COMPLETED,2,elu,elu,,,1,1,0,0,0.16499248146777984,1e-08,0.004140926288632656,0.001717454529887238,linear,0.01178063296844219,3,64,nadam,45.27403259277344
3,COMPLETED,2,<function leaky_relu at 0x2b39a6b88ef0>,tanh,<function lrelu at 0x2b39af95cb90>,,1,1,0,0,0.23774052451522282,1e-07,0.007301621085021402,0.005153260496914482,<function my_act_fct at 0x2b395e297ef0>,0.00017747400682597414,4,16,adam,88.29348754882812
4,COMPLETED,2,<function leaky_relu at 0x2b39a6b88ef0>,<function lrelu at 0x2b39af95cb90>,tanh,,0,1,0,1,0.37762657706497027,1e-08,0.0005596577269024893,0.008348558749429368,<function my_act_fct at 0x2b395e297ef0>,0.03857271903169776,4,32,adam,307.28851318359375
5,COMPLETED,2,elu,<function leaky_relu at 0x2b39a6b88ef0>,elu,,0,0,0,1,0.37451170558965563,1.0,0.009780750682993585,0.0062258576057925554,linear,0.08150117617864908,4,128,nadam,7534.22705078125
6,COMPLETED,2,<function lrelu at 0x2b39af95cb90>,,,,0,1,1,0,0.20851128611769681,0.1,0.0035730736820575914,0.005497666495968694,<function my_act_fct at 0x2b395e297ef0>,0.00407953248087865,2,64,adam,47.221527099609375
7,COMPLETED,2,<function leaky_relu at 0x2b39a6b88ef0>,,,,0,0,1,1,0.4614377433644681,1e-07,0.00706110837160932,0.00947354383123594,<function my_act_fct at 0x2b395e297ef0>,0.0016303312463199758,2,256,RMSprop,59.181861877441406
8,COMPLETED,2,<function leaky_relu at 0x2b39a6b88ef0>,,,,0,0,1,1,0.12702772715949234,1e-07,0.008126704792921179,0.005711752351676646,linear,0.014954292576389408,2,256,nadam,73.51994323730469
9,COMPLETED,2,tanh,<function lrelu at 0x2b39af95cb90>,,,0,1,1,1,0.3010530047102647,1e-08,0.007108353746714883,0.0013567330092347219,<function my_act_fct at 0x2b395e297ef0>,0.007916123430828006,3,128,adam,56.32088088989258
10,COMPLETED,2,tanh,elu,,,0,1,1,0,0.34823506836196794,0.1,0.006739456537338721,0.0023430384964577733,<function my_act_fct at 0x2b395e297ef0>,0.00017004500150181342,3,16,adadelta,84.83199310302734
11,COMPLETED,2,tanh,<function lrelu at 0x2b39af95cb90>,<function lrelu at 0x2b39af95cb90>,,0,0,0,1,0.1551803659463239,1e-07,0.008777958018143094,0.009643431551235518,linear,0.0004863662314415162,4,32,nadam,56.7774543762207
12,COMPLETED,2,<function leaky_relu at 0x2b39a6b88ef0>,<function leaky_relu at 0x2b39a6b88ef0>,,,1,0,1,1,0.022854720177859056,1e-08,0.0035033337355109793,0.003440182708051197,<function my_act_fct at 0x2b395e297ef0>,0.0117587893510809,3,64,RMSprop,49.3380126953125
13,COMPLETED,2,<function lrelu at 0x2b39af95cb90>,,,,1,0,1,0,0.19847570268247905,1.0,0.006634542143601993,0.00629950776200889,linear,0.0012470963499993995,2,128,nadam,57.33108901977539
14,COMPLETED,2,<function lrelu at 0x2b39af95cb90>,,,,0,1,0,0,0.3708695875724365,1e-08,0.0025264922348678174,0.005175916794364328,<function my_act_fct at 0x2b395e297ef0>,0.0013897805627383218,2,256,adadelta,261.97265625
15,COMPLETED,2,tanh,<function lrelu at 0x2b39af95cb90>,,,1,0,1,1,0.2294980599888431,0.1,0.009978999932495151,0.0030933256832628223,linear,0.00011485774510519316,3,256,adam,49.98576354980469
16,COMPLETED,2,elu,tanh,,,0,1,0,1,0.49711398103048127,0.1,0.0074287324194542105,0.00039692535377869987,linear,0.03781743018562056,3,128,nadam,117.20083618164062
17,COMPLETED,2,elu,elu,,,0,0,1,0,0.2712513634719614,1.0,0.008172692483317145,0.00854038842531353,<function my_act_fct at 0x2b395e297ef0>,0.00121426484418242,3,64,RMSprop,49.212799072265625
18,COMPLETED,2,relu,,,,0,1,0,1,0.4433767576401426,1e-07,0.0024444034249701497,0.006829496148947407,<function my_act_fct at 0x2b395e297ef0>,0.00025241496252874265,2,256,adadelta,330.66778564453125
