Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,2,<function leaky_relu at 0x2baa40732ef0>,tanh,<function lrelu at 0x2baa4950f710>,,0,1.0,0.0,,0.20986926417416246,0.1,0.008453317517197032,0.004270929117841127,0.008803597915634025,4,128,45.940940856933594
2,COMPLETED,2,<function leaky_relu at 0x2baa40732ef0>,tanh,,,1,1.0,,,0.3050793603686636,1e-07,0.0006264826343020558,0.005892426562488656,0.058474230921446234,3,512,145.0608673095703
3,COMPLETED,2,<function lrelu at 0x2baa4950f710>,,,,1,,,,0.31576780334474913,1e-07,0.00480497831787233,0.008785466914951382,0.036014939388495565,2,32,120.92302703857422
4,COMPLETED,2,<function lrelu at 0x2baa4950f710>,relu,elu,,0,1.0,1.0,,0.11344230078728113,1.0,0.005932436350811837,0.0030090713088914136,0.12168246662896263,4,32,71.60150146484375
5,COMPLETED,2,<function lrelu at 0x2baa4950f710>,elu,<function lrelu at 0x2baa4950f710>,,1,1.0,1.0,,0.4257499632545598,1e-07,0.00532160214562351,0.003712281796276783,0.08749658483359685,4,16,115.43966674804688
6,COMPLETED,2,tanh,,,,1,,,,0.4078393300584288,1e-08,0.005683603979922248,0.004233295213234484,0.1107166156197812,2,128,111.4028091430664
7,COMPLETED,2,relu,<function leaky_relu at 0x2baa40732ef0>,,,1,0.0,,,0.4246301502755374,1e-07,0.00943781296806339,0.008083948478556818,0.01724154749424671,3,512,92.18643188476562
8,COMPLETED,2,tanh,,,,0,,,,0.06213722443314029,0.1,0.009918153741732848,0.005056802593466311,0.11581040847822602,2,32,97.72661590576172
