Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,2,tanh,<function leaky_relu at 0x2acf615c4ef0>,elu,,0,1.0,1.0,,0.4513843024407294,1.0,0.009295512078692931,0.0024454577787678036,0.723857986828977,4,256,378.61920166015625
2,COMPLETED,2,relu,<function lrelu at 0x2acf6a3a0710>,,,1,1.0,,,0.2963170475810121,1e-07,0.009665006964939321,0.0027073672220462677,0.9326735961762858,3,128,238.6988983154297
3,COMPLETED,2,<function leaky_relu at 0x2acf615c4ef0>,tanh,<function lrelu at 0x2acf6a3a0710>,,0,1.0,0.0,,0.20986926417416246,0.1,0.008453317517197032,0.004270929117841127,0.008803597915634025,4,128,43.050697326660156
4,COMPLETED,2,elu,,,,1,,,,0.3743631693116974,1e-08,0.008796077143503596,0.005136350335943432,0.006496946093195879,2,16,108.60781860351562
5,COMPLETED,2,elu,<function leaky_relu at 0x2acf615c4ef0>,,,1,0.0,,,0.4988406863005134,1e-08,0.002596769936097587,0.0016451283464243706,0.0004883165295155858,3,16,80.72550964355469
6,COMPLETED,2,<function leaky_relu at 0x2acf615c4ef0>,tanh,,,1,0.0,,,0.3770381413199817,1.0,0.009364536444761366,0.0029547534835829095,0.4040321750276068,3,256,211.47593688964844
7,COMPLETED,2,<function lrelu at 0x2acf6a3a0710>,<function lrelu at 0x2acf6a3a0710>,relu,,1,1.0,1.0,,0.3544214354094056,1e-08,0.0011041604505242265,0.0013492489875869952,0.00241482595364691,4,64,624.8994750976562
8,COMPLETED,2,<function leaky_relu at 0x2acf615c4ef0>,<function leaky_relu at 0x2acf615c4ef0>,,,1,1.0,,,0.40297123718915284,1.0,0.002684951716705013,0.0013884637833054114,0.00016726460283605655,3,16,87.69963836669922
9,COMPLETED,2,<function lrelu at 0x2acf6a3a0710>,tanh,<function leaky_relu at 0x2acf615c4ef0>,,0,0.0,0.0,,0.36892938820805077,1e-07,0.0064527893976144765,0.002492096423435607,0.0003333645176693284,4,256,58.99509811401367
