Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,last_activation,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,tanh,,,,0,0,0,0,0.28181289241174584,1.0,0.0010320550773094904,0.0006098164062053258,linear,0.09499200115688947,2,32,nadam,70.8687973022461
2,COMPLETED,2,relu,tanh,elu,,1,0,0,1,0.37512726403496804,1.0,0.005768820057674286,0.004723646520496624,<function my_act_fct at 0x2b96a3fbcef0>,0.08641693983343768,4,256,nadam,122.1103286743164
3,COMPLETED,2,relu,<function leaky_relu at 0x2b96ec8adef0>,elu,,1,1,0,1,0.31227817109966605,1.0,0.007081555711225188,0.007783470244728003,<function my_act_fct at 0x2b96a3fbcef0>,0.021532992251876843,4,32,adam,76.36579132080078
4,COMPLETED,2,relu,tanh,elu,,1,0,0,1,0.4684011713860953,1e-07,0.0026860994750313705,0.00975879310906909,<function my_act_fct at 0x2b96a3fbcef0>,0.0006650224175150493,4,128,RMSprop,49.7931022644043
5,COMPLETED,2,<function lrelu at 0x2b96f5681b00>,,,,0,0,0,0,0.1323533847293512,1e-08,0.006360412185502221,0.008020633829095788,linear,0.008322353100976756,2,128,adadelta,162.74807739257812
6,COMPLETED,2,relu,<function leaky_relu at 0x2b96ec8adef0>,<function leaky_relu at 0x2b96ec8adef0>,,0,1,1,1,0.4009846215376766,1e-08,0.0010244002312737321,0.00290180951900756,<function my_act_fct at 0x2b96a3fbcef0>,0.04466349176089216,4,32,nadam,104.96965789794922
7,COMPLETED,2,elu,<function leaky_relu at 0x2b96ec8adef0>,<function leaky_relu at 0x2b96ec8adef0>,,1,1,1,0,0.33637332838658374,1e-08,0.0023714870207545246,0.007513428623065194,linear,0.0007554674045094423,4,16,nadam,101.72232055664062
8,COMPLETED,2,<function leaky_relu at 0x2b96ec8adef0>,,,,1,1,0,0,0.4732099127133612,1e-08,0.003053899065968696,0.0013787880955383202,<function my_act_fct at 0x2b96a3fbcef0>,0.06381708229925105,2,256,nadam,59.30769348144531
9,COMPLETED,2,<function leaky_relu at 0x2b96ec8adef0>,,,,0,0,1,0,0.18140029562397236,0.1,0.0032517046330226,0.0023924576144068377,linear,0.00016547541025223287,2,128,adadelta,66.80601501464844
10,COMPLETED,2,tanh,,,,0,0,1,1,0.28020963639293184,0.1,0.007763129759551154,0.008840142561972922,linear,0.0003503117457309252,2,128,nadam,95.13633728027344
11,COMPLETED,2,relu,tanh,,,0,1,1,1,0.37967995370811364,0.1,0.006063750543598288,0.007374973113527535,<function my_act_fct at 0x2b96a3fbcef0>,0.050601207027686224,3,256,RMSprop,121.37579345703125
12,COMPLETED,2,<function lrelu at 0x2b96f5681b00>,tanh,tanh,,0,1,0,0,0.25346258963121254,0.1,0.007931320720737565,0.008480237650902386,<function my_act_fct at 0x2b96a3fbcef0>,0.000627704299591512,4,16,RMSprop,163.88121032714844
13,COMPLETED,2,<function lrelu at 0x2b96f5681b00>,tanh,,,1,0,1,1,0.1575323706444844,0.1,0.007707120723343166,0.006386977938027179,<function my_act_fct at 0x2b96a3fbcef0>,0.0024641181185148997,3,16,adadelta,140.6871795654297
14,COMPLETED,2,<function lrelu at 0x2b96f5681b00>,,,,1,0,0,1,0.37877362656483804,1e-08,0.004326127608013387,0.0027553371489443456,linear,0.0012396437118224245,2,16,adadelta,431.8099060058594
15,COMPLETED,2,tanh,relu,tanh,,0,1,0,1,0.12185998280968868,1e-07,0.004069415855848679,0.008958997465414748,<function my_act_fct at 0x2b96a3fbcef0>,0.00123582156257818,4,16,adadelta,430.33001708984375
16,COMPLETED,2,<function leaky_relu at 0x2b96ec8adef0>,<function lrelu at 0x2b96f5681b00>,elu,,0,1,1,1,0.44883704591464424,1e-08,0.0008289087937879869,0.006764257796783704,linear,0.020305559301935668,4,128,RMSprop,133.84214782714844
17,COMPLETED,2,tanh,,,,1,1,1,0,0.2149658289406277,1.0,0.00444592627758707,0.007821808937737417,linear,0.00011973668346343089,2,32,nadam,160.99432373046875
18,COMPLETED,2,<function leaky_relu at 0x2b96ec8adef0>,,,,1,1,0,0,0.27893233447312765,1.0,0.006704440213106087,0.0049926522288553385,<function my_act_fct at 0x2b96a3fbcef0>,0.0029205428246633653,2,32,RMSprop,53.34990692138672
