Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_last,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,tanh,<function leaky_relu at 0x2b4eed32af80>,tanh,,linear,0,0,1,0,0.0,0.1,0.004749,0.008732,0.000433,4,64,adadelta,26.011905670166016
2,COMPLETED,2,<function lrelu at 0x2b4ef489c200>,elu,,,<function my_act_fct at 0x2b4eb88947a0>,0,1,0,0,0.2567766529513422,1.0,0.00441107582988642,0.00976385046167774,0.0029667743052615584,3,256,nadam,30.517663955688477
3,COMPLETED,2,elu,elu,elu,,linear,0,1,1,1,0.4076495201140031,1e-08,0.0006085353330911924,0.0020118243742032484,0.006267802439137977,4,16,SGD,53.366790771484375
4,COMPLETED,2,<function lrelu at 0x2b4ef489c200>,<function lrelu at 0x2b4ef489c200>,<function lrelu at 0x2b4ef489c200>,,<function my_act_fct at 0x2b4eb88947a0>,0,1,0,1,0.18931602031764055,1e-08,0.006939732092574992,0.0009230216854403028,0.024197059179464336,4,64,adam,52.12937927246094
5,COMPLETED,2,<function leaky_relu at 0x2b4eed32af80>,tanh,,,linear,0,1,1,1,0.34625341171525587,1e-08,0.008533461957992237,0.0029739221973024855,0.37706354024208333,3,256,adadelta,35.16804122924805
6,COMPLETED,2,<function lrelu at 0x2b4ef489c200>,,,,linear,0,1,0,1,0.4995040189129321,1e-08,0.008850349698875307,0.005049543059319796,0.21041105337846583,2,16,adam,66.37195587158203
7,COMPLETED,2,relu,elu,tanh,,linear,1,0,0,0,0.0923176477383843,1.0,0.00782658936862175,0.004928054353072269,0.018384892817490155,4,128,nadam,34.19829559326172
8,COMPLETED,2,elu,,,,linear,0,0,0,1,0.4975972985272331,1e-08,0.002663324501979545,0.007531167217405756,0.000221940999305474,2,64,RMSprop,52.659915924072266
