Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective,bn_2,bn_3,bn_4,activation_5,bn_5,activation_6,bn_6,activation_7,bn_7
1,COMPLETED,2,elu,,,,0.1502629998255931,1e-07,0.003392940628818765,0.0004616164191641692,0.005175068832552551,2,16,666.0296630859375,,,,,,,,,
2,COMPLETED,2,elu,<function leaky_relu at 0x2b008e7acf80>,elu,,0.46637560504010467,1e-08,0.007343400983270441,0.007267131633898364,0.002769264429459641,4,64,666.053466796875,,,,,,,,,
3,COMPLETED,2,elu,<function leaky_relu at 0x2b008e7acf80>,,,0.318788416853257,1e-08,0.004328033948169282,0.002353220976873538,0.0031401672232257453,3,64,666.0377197265625,,,,,,,,,
4,COMPLETED,2,tanh,<function lrelu at 0x2b0097588c20>,,,0.06779143224772682,0.1,0.0041573644265674396,0.005208357685721937,0.018850786422837718,3,64,666.03125,,,,,,,,,
5,COMPLETED,2,relu,elu,,,0.15064261560247116,0.1,0.007283684323943879,0.0026271542939434625,0.0006332831856224269,3,64,666.0296020507812,,,,,,,,,
6,COMPLETED,2,<function lrelu at 0x2b0097588c20>,<function leaky_relu at 0x2b008e7acf80>,,,0.49029112192782914,0.1,0.0007933937295515959,0.00555067247387081,0.03719017128342844,3,64,666.0294799804688,,,,,,,,,
