Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_last,bn_1,bn_2,bn_3,bn_4,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,optimizer,Objective
1,COMPLETED,2,tanh,<function leaky_relu at 0x2b6cafb2b5f0>,tanh,,linear,0,0,1,0,0.0,0.1,0.004749,0.008732,0.000433,4,64,adadelta,68.94166564941406
2,COMPLETED,2,relu,,,,<function my_act_fct at 0x2b6cb7a37a70>,0,1,1,1,0.16274331992927543,1.0,0.005389331343053494,0.003240455517930251,0.00281356661830436,2,32,SGD,710.0723876953125
3,COMPLETED,2,<function lrelu at 0x2b6c5c255680>,elu,,,<function my_act_fct at 0x2b6cb7a37a70>,0,1,0,1,0.23432493025223733,1e-07,0.007403342005237089,0.0047286343622571295,0.8542032030598995,3,64,adadelta,51.297752380371094
4,COMPLETED,2,<function lrelu at 0x2b6c5c255680>,tanh,,,linear,1,1,0,0,0.20540852987662833,1.0,0.005621757161546369,0.003154176347151303,0.11656030892027672,3,512,nadam,126.8796157836914
