Trial-ID,Status,Iteration,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,batch_size,bn_1,bn_2,bn_3,bn_4,bn_5,bn_6,bn_7,dropout,epsilon,l1_reg,l2_reg,lrinit,model_depth,num_units,Objective
1,COMPLETED,15,elu,elu,<function lrelu at 0x2b695f9438c0>,relu,<function leaky_relu at 0x2b65702e4050>,<function lrelu at 0x2b695f9438c0>,,32,1,0.0,1.0,1.0,1.0,0.0,,0.43982705838853137,1e-08,0.003127146235587306,0.00986582952777019,0.003952947589736992,7,16,38.95255773205803
2,COMPLETED,9,tanh,elu,<function lrelu at 0x2b695f9438c0>,<function leaky_relu at 0x2b65702e4050>,,,,64,0,0.0,0.0,1.0,,,,0.4662286720801538,1e-07,0.004571192340277344,0.0060184230434168545,0.024469742762425143,5,16,33.93986033551633
3,COMPLETED,8,relu,<function lrelu at 0x2b695f9438c0>,<function lrelu at 0x2b695f9438c0>,,,,,64,0,1.0,0.0,,,,,0.48808996985089215,1e-08,0.005475952785615149,0.0031408542418370324,0.08301672937672605,4,16,48.59579285313097
4,COMPLETED,74,<function leaky_relu at 0x2b65702e4050>,elu,tanh,<function leaky_relu at 0x2b65702e4050>,relu,,,32,1,1.0,1.0,1.0,1.0,,,0.25246474995014506,0.1,0.006605445748539864,0.004395587264868295,1.67300694932844e-05,6,128,21.587669208379555
5,COMPLETED,74,tanh,,,,,,,64,0,,,,,,,0.2718662026918616,1.0,0.0028862120434338568,0.007303824423701355,0.0008077497372391471,2,512,33.065686922260966
6,COMPLETED,74,relu,relu,relu,,,,,128,1,0.0,0.0,,,,,0.06527066295325767,1e-08,0.009091811208135847,0.005382775256616228,1.424137500017474e-05,4,32,23.190497295330204
7,COMPLETED,66,elu,relu,tanh,relu,<function lrelu at 0x2b695f9438c0>,<function leaky_relu at 0x2b65702e4050>,,128,0,1.0,1.0,1.0,1.0,1.0,,0.22750195595171308,1.0,0.009314915862436246,0.004103698303429276,3.617012831089809e-05,7,256,27.51019237936423
8,COMPLETED,10,elu,<function lrelu at 0x2b695f9438c0>,tanh,<function leaky_relu at 0x2b65702e4050>,relu,,,256,1,0.0,1.0,0.0,0.0,,,0.49461645385052533,1.0,0.006650203755756578,0.007924760443109266,0.03384178582806004,6,128,36.36510397160289
9,COMPLETED,17,tanh,relu,elu,<function leaky_relu at 0x2b65702e4050>,,,,64,0,1.0,0.0,1.0,,,,0.30453791231471616,1e-08,0.006148032129039918,0.00840841165010486,0.04857358652716568,5,16,43.55113882333741
10,COMPLETED,16,elu,<function leaky_relu at 0x2b65702e4050>,tanh,<function lrelu at 0x2b695f9438c0>,,,,128,1,1.0,1.0,1.0,,,,0.17724647972725255,1e-08,0.008998374779304237,0.008805218159315889,0.013730416865697417,5,128,35.51990960457026
11,COMPLETED,61,<function lrelu at 0x2b695f9438c0>,<function leaky_relu at 0x2b65702e4050>,elu,,,,,128,0,0.0,0.0,,,,,0.4510181641963511,1e-07,0.006325290803492425,0.005664035839529041,0.00015778487065382058,4,32,24.683419130066234
12,COMPLETED,13,<function lrelu at 0x2b695f9438c0>,tanh,elu,,,,,128,1,0.0,1.0,,,,,0.36601309360094275,1e-07,0.0027924573980917956,0.005927085569862134,0.0009316805392891873,4,128,22.605489386280514
13,COMPLETED,74,elu,relu,,,,,,512,0,0.0,,,,,,0.26624750508277056,1e-08,0.0032155424142782598,0.009286426071273291,1.7205219304478276e-05,3,256,36.0317746292845
14,COMPLETED,16,<function lrelu at 0x2b695f9438c0>,elu,,,,,,32,1,0.0,,,,,,0.4336819951537308,1e-07,0.00020229837077096803,0.006679736387087381,0.0004431815703076597,3,64,22.12077719785386
15,COMPLETED,21,relu,relu,relu,<function lrelu at 0x2b695f9438c0>,,,,512,0,1.0,0.0,0.0,,,,0.2674100738735022,0.1,0.0030828194041425372,0.003375981327994223,0.0008844436341477065,5,32,22.611746715978466
16,COMPLETED,16,relu,<function lrelu at 0x2b695f9438c0>,elu,<function lrelu at 0x2b695f9438c0>,tanh,<function lrelu at 0x2b695f9438c0>,,64,0,0.0,1.0,1.0,1.0,0.0,,0.11808204718038612,1e-08,0.00036492858228598715,0.0006114139818935005,0.0015687549318070368,7,64,20.762763317911837
